Name,Date,Price
ALUMINUM,2014-02-28,1719.15
ALUMINUM,2014-03-31,1751
ALUMINUM,2014-04-30,1766.75
ALUMINUM,2014-05-30,1814.25
ALUMINUM,2014-06-30,1863.75
ALUMINUM,2014-07-31,1985.5
ALUMINUM,2014-08-29,2081.5
ALUMINUM,2014-09-30,1933.5
ALUMINUM,2014-10-31,2064.5
ALUMINUM,2014-11-28,2009.5
ALUMINUM,2014-12-31,1833.75
ALUMINUM,2015-01-30,1851.75
ALUMINUM,2015-02-27,1809.25
ALUMINUM,2015-03-31,1787.25
ALUMINUM,2015-04-30,1914.25
ALUMINUM,2015-05-29,1708.25
ALUMINUM,2015-06-30,1658.5
ALUMINUM,2015-07-31,1589.5
ALUMINUM,2015-08-31,1595.5
ALUMINUM,2015-09-30,1577.25
ALUMINUM,2015-10-30,1452.75
ALUMINUM,2015-11-30,1444.25
ALUMINUM,2015-12-31,1505.5
ALUMINUM,2016-01-29,1520.75
ALUMINUM,2016-02-29,1572.25
ALUMINUM,2016-03-31,1508.75
ALUMINUM,2016-04-29,1673.75
ALUMINUM,2016-05-31,1545.75
ALUMINUM,2016-06-30,1645.75
ALUMINUM,2016-07-29,1636.75
ALUMINUM,2016-08-31,1600.75
ALUMINUM,2016-09-30,1664.75
ALUMINUM,2016-10-31,1734
ALUMINUM,2016-11-30,1733.25
ALUMINUM,2016-12-30,1694
ALUMINUM,2017-01-31,1807
ALUMINUM,2017-02-28,1921.25
ALUMINUM,2017-03-31,1954.75
ALUMINUM,2017-04-28,1904
ALUMINUM,2017-05-31,1920.25
ALUMINUM,2017-06-30,1910.5
ALUMINUM,2017-07-31,1899.75
ALUMINUM,2017-08-31,2103.25
ALUMINUM,2017-09-29,2081
ALUMINUM,2017-10-31,2146.25
ALUMINUM,2017-11-30,2033
ALUMINUM,2017-12-29,2258.25
ALUMINUM,2018-01-31,2223.5
ALUMINUM,2018-02-28,2129.5
ALUMINUM,2018-03-30,1990.75
ALUMINUM,2018-04-30,2263.5
ALUMINUM,2018-05-31,2298.25
ALUMINUM,2018-06-29,2164
ALUMINUM,2018-07-31,2067.25
ALUMINUM,2018-08-31,2109.5
ALUMINUM,2018-09-28,2056
ALUMINUM,2018-10-31,1947
ALUMINUM,2018-11-30,1966.75
ALUMINUM,2018-12-31,1822.75
ALUMINUM,2019-01-31,1901
ALUMINUM,2019-02-28,1894.75
ALUMINUM,2019-03-29,1900.25
ALUMINUM,2019-04-30,1773
ALUMINUM,2019-05-31,1777.5
ALUMINUM,2019-06-28,1782.25
ALUMINUM,2019-07-31,1782.25
ALUMINUM,2019-08-30,1732.5
ALUMINUM,2019-09-30,1707.5
ALUMINUM,2019-10-31,1761.5
ALUMINUM,2019-11-29,1780
ALUMINUM,2019-12-31,1789.25
ALUMINUM,2020-01-31,1703.5
ALUMINUM,2020-02-28,1685.5
ALUMINUM,2020-03-31,1501.5
ALUMINUM,2020-04-30,1466.75
ALUMINUM,2020-05-29,1535
ALUMINUM,2020-06-30,1593.75
ALUMINUM,2020-07-31,1683.5
ALUMINUM,2020-08-31,1771.5
ALUMINUM,2020-09-30,1739.75
ALUMINUM,2020-10-30,1853.5
ALUMINUM,2020-11-30,2042.25
ALUMINUM,2020-12-31,1979
ALUMINUM,2021-01-29,1972.88
ALUMINUM,2021-02-26,2131.75
ALUMINUM,2021-03-31,2194.25
ALUMINUM,2021-04-30,2390.5
ALUMINUM,2021-05-31,2466.76
ALUMINUM,2021-06-30,2519.5
ALUMINUM,2021-07-30,2603
ALUMINUM,2021-08-31,2713
ALUMINUM,2021-09-30,2849.75
ALUMINUM,2021-10-29,2712.25
ALUMINUM,2021-11-30,2640.5
ALUMINUM,2021-12-31,2803
ALUMINUM,2022-01-31,3047
ALUMINUM,2022-02-28,3374
ALUMINUM,2022-03-31,3483.61
ALUMINUM,2022-04-29,3035.5
ALUMINUM,2022-05-31,2763.75
ALUMINUM,2022-06-30,2432.5
ALUMINUM,2022-07-29,2501.24
ALUMINUM,2022-08-31,2364.75
ALUMINUM,2022-09-30,2164.25
ALUMINUM,2022-10-31,2220
ALUMINUM,2022-11-30,2455
ALUMINUM,2022-12-30,2349.51
ALUMINUM,2023-01-31,2618.25
ALUMINUM,2023-02-28,2337.13
ALUMINUM,2023-03-31,2382.75
ALUMINUM,2023-04-28,2372
ALUMINUM,2023-05-31,2242.5
ALUMINUM,2023-06-30,2121
ALUMINUM,2023-07-31,2256.51
ALUMINUM,2023-08-31,2173.75
ALUMINUM,2023-09-29,2339
ALUMINUM,2023-10-31,2248.65
ALUMINUM,2023-11-30,2166.01
ALUMINUM,2023-12-29,2351.5
ALUMINUM,2024-01-31,2252.35
ALUMINUM,2024-02-29,2197.22
ALUMINUM,2024-03-29,2306.92
ALUMINUM,2024-04-30,2565.69
ALUMINUM,2024-05-31,2621.14
ALUMINUM,2024-06-28,2490.52
ALUMINUM,2024-07-31,2242.01
ALUMINUM,2024-08-30,2433.9
ALUMINUM,2024-09-30,2619.75
